type,delimiter,extension,format,nrows,ncols,file_size,nnum_vars,nchar_vars,num_vars,char_vars,tasks,num_files,title,link,author,publisher,citation_request,description,date_submitted,date_created,tags
,,,,368,27,NA,NA,NA,,,classification,NA,Horse Colic Data Set,,,,,"Well documented attributes; 368 instances with 28 attributes (continuous, discrete, and nominal); 30% missing values",1989-08-06,,life
,,,,139,6,NA,NA,NA,,,causal-discovery,NA,Horton General Hospital Data Set,,,,,"Horton General Hospital is in the town Banbury not far from Oxford, UK.",2019-11-13,,life
,,,,17898,9,NA,NA,NA,,,"classification, clustering",NA,HTRU2 Data Set,,,,,"Pulsar candidates collected during the HTRU survey. Pulsars are a type of star, of considerable scientific interest. Candidates must be classified in to pulsar and non-pulsar classes to aid discovery.",2017-02-14,,physical
,,,,13956534,37,NA,NA,NA,,,classification,NA,Human Activity Recognition from Continuous Ambient Sensor Data Data Set,,,,,This dataset represents ambient data collected in homes with volunteer residents.  Data are collected continuously while residents perform their normal routines.,2019-09-20,,n/a
,,,,10299,561,NA,NA,NA,,,"classification, clustering",NA,Human Activity Recognition Using Smartphones Data Set,,,,,Human Activity Recognition database built from the recordings of 30 subjects performing activities of daily living (ADL) while carrying a waist-mounted smartphone with embedded inertial sensors.,2012-12-10,,computer
,,,,521,20,NA,NA,NA,,,regression,NA,Hungarian Chickenpox Cases Data Set,,,,,A spatio-temporal dataset of weekly chickenpox cases from Hungary. The dataset consists of a county-level adjacency matrix and time series of the county-level reported cases between 2005 and 2015.,2021-02-17,,life
,,,,1540,65,NA,NA,NA,,,classification,NA,"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer Data Set",,,,,"The dataset was created for the comparison and evaluation of hybrid indoor positioning methods. The dataset presented contains data from W-LAN and Bluetooth interfaces, and Magnetometer.",2016-12-18,,computer
,,,,105,5,NA,NA,NA,,,"classification, clustering",NA,ICMLA 2014 Accepted Papers Data Set Data Set,,,,,"This data set compromises the metadata for the 2014 ICMLA conference's accepted papers, including ID, paper titles, author's keywords, abstracts and sessions in which they were exposed.",2018-02-19,,n/a
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,ICU Data Set,,,,,Data set prepared for the use of participants for the 1994 AAAI Spring Symposium on Artificial Intelligence in Medicine.,N/A,,life
,,,,76000,171,NA,NA,NA,,,classification,NA,IDA2016Challenge Data Set,,,,,The dataset consists of data collected from heavy Scania trucks in everyday usage.,2017-01-17,,computer
,,,,N/A,N/A,NA,NA,NA,,,regression,NA,IIWA14-R820-Gazebo-Dataset-10Trajectories Data Set,,,,,This dataset contain 10 Trajectories of IIWA14-R820 Gazebo robot model. Based in paper 'Improving the Inverse Dynamics Model of the KUKA LWR IV+ using Independent Joint Learning' of Shareef (2016).,2020-06-09,,computer
,,,,583,10,NA,NA,NA,,,classification,NA,ILPD (Indian Liver Patient Dataset) Data Set,,,,,"This data set contains 10 variables that are age, gender, total Bilirubin, direct Bilirubin, total proteins, albumin, A/G ratio, SGPT, SGOT and Alkphos.",2012-05-21,,life
,,,,2310,19,NA,NA,NA,,,classification,NA,Image Segmentation Data Set,,,,,"Image data described by high-level numeric-valued attributes, 7 classes",1990-11-01,,n/a
,,,,90,8,NA,NA,NA,,,classification,NA,Immunotherapy Dataset Data Set,,,,,This dataset contains information about wart treatment results of 90 patients using immunotherapy.,2018-01-04,,life
,,,,12684,23,NA,NA,NA,,,classification,NA,in-vehicle coupon recommendation Data Set,,,,,This data studies whether a person will accept the coupon recommended to him in different driving scenarios,2020-09-15,,business
,,,,141712,36,NA,NA,NA,,,"regression, clustering",NA,Incident management process enriched event log Data Set,,,,,This event log was extracted from data gathered from the audit system of an instance of the ServiceNow platform used by an IT company and enriched with data loaded from a relational database.,2019-07-14,,business
,,,,2075259,9,NA,NA,NA,,,"regression, clustering",NA,Individual household electric power consumption Data Set,,,,,Measurements of electric power consumption in one household with a one-minute sampling rate over a period of almost 4 years. Different electrical quantities and some sub-metering values are available.,2012-08-30,,physical
,,,,13197,4,NA,NA,NA,,,classification,NA,Indoor User Movement Prediction from RSS data Data Set,,,,,This dataset contains temporal data from a Wireless Sensor Network deployed in real-world office environments. The task is intended as real-life benchmark in the area of Ambient Assisted Living.,2016-02-04,,computer
,,,,9000,86,NA,NA,NA,,,"regression, description",NA,Insurance Company Benchmark (COIL 2000) Data Set,,,,,This data set used in the CoIL 2000 Challenge contains information on customers of an insurance company. The data consists of 86 variables and includes product usage data and socio-demographic data,2000-07-03,,social
,,,,800,9,NA,NA,NA,,,classification,NA,Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset Data Set,,,,,The IM-AccGyro dataset is devised to benchmark techniques dealing with human activity recognition based on inertial sensors.,2020-09-03,,physical
,,,,3279,1558,NA,NA,NA,,,classification,NA,Internet Advertisements Data Set,,,,,This dataset represents a set of possible advertisements on Internet pages.,1998-07-01,,computer
,,,,65532,12,NA,NA,NA,,,classification,NA,Internet Firewall Data Data Set,,,,,this data set was collected from the internet traffic records on a university's firewall.,2019-02-04,,computer
,,,,10104,72,NA,NA,NA,,,n/a,NA,Internet Usage Data Data Set,,,,,This data contains general demographic information on internet users in 1997.,1999-06-30,,computer
,,,,351,34,NA,NA,NA,,,classification,NA,Ionosphere Data Set,,,,,Classification of radar returns from the ionosphere,1989-01-01,,physical
,,,,256932,61,NA,NA,NA,,,n/a,NA,IPUMS Census Database Data Set,,,,,"This data set contains unweighted PUMS census data from the Los Angeles and Long Beach areas for the years 1970, 1980, and 1990.",1999-11-09,,social
,,,,3150,13,NA,NA,NA,,,"classification, regression",NA,Iranian Churn Dataset Data Set,,,,,This dataset is randomly collected from an Iranian telecom companyâ€™s database over a period of 12 months.,2020-04-09,,business
,,,,3150,13,NA,NA,NA,,,"classification, regression",NA,Iranian Churn Dataset Data Set,,,,,This dataset is randomly collected from an Iranian telecom companyâ€™s database over a period of 12 months.,2020-04-09,,business
,,,,150,4,NA,NA,NA,,,classification,NA,Iris Data Set,,,,,"Famous database; from Fisher, 1936",1988-07-01,,life
,,,,7797,617,NA,NA,NA,,,classification,NA,ISOLET Data Set,,,,, Goal: Predict which letter-name was spoken--a simple classification task.,1994-09-12,,computer
,,,,536,8,NA,NA,NA,,,"classification, regression",NA,ISTANBUL STOCK EXCHANGE Data Set,,,,,"Data sets includes returns of Istanbul Stock Exchange with seven other international index; SP, DAX, FTSE, NIKKEI, BOVESPA, MSCE",2013-06-01,,business
,,,,125,N/A,NA,NA,NA,,,classification,NA,Japanese Credit Screening Data Set,,,,,Includes domain theory (generated by talking to Japanese domain experts); data in Lisp,1992-03-19,,financial
,,,,640,12,NA,NA,NA,,,classification,NA,Japanese Vowels Data Set,,,,,This dataset records 640 time series of 12 LPC cepstrum coefficients taken from nine male speakers.,N/A,,n/a
,,,,17764280,2158859,NA,NA,NA,,,causal-discovery,NA,KASANDR Data Set,,,,,"KASANDR is a novel, publicly available collection for recommendation systems that records the behavior of customers of the European leader in e-Commerce advertising, Kelkoo.",2017-05-16,,life
,,,,4007,N/A,NA,NA,NA,,,"classification, regression",NA,KDC-4007 dataset Collection Data Set,,,,,KDC-4007 dataset Collection is the Kurdish Documents Classification text used in categories regarding Kurdish Sorani news and articles.,2017-04-27,,computer
,,,,191779,481,NA,NA,NA,,,regression,NA,KDD Cup 1998 Data Data Set,,,,,"This is the data set used for The Second International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-98",1998-07-20,,n/a
,,,,4000000,42,NA,NA,NA,,,classification,NA,KDD Cup 1999 Data Data Set,,,,,"This is the data set used for The Third International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-99",1999-01-01,,computer
,,,,65554,29,NA,NA,NA,,,"classification, regression, clustering",NA,KEGG Metabolic Reaction Network (Undirected) Data Set,,,,,KEGG Metabolic pathways modeled as un-directed reaction network. Variety of graphical features presented.,2011-11-28,,life
,,,,53414,24,NA,NA,NA,,,"classification, regression, clustering",NA,KEGG Metabolic Relation Network (Directed) Data Set,,,,,KEGG Metabolic pathways modeled as directed relation network. Variety of graphical features presented.,2011-11-28,,life
,,,,104,12,NA,NA,NA,,,relational-learning,NA,Kinship Data Set,,,,,Relational dataset,1990-07-01,,social
,,,,27170754,115,NA,NA,NA,,,"classification, clustering, causal-discovery",NA,Kitsune Network Attack Dataset Data Set,,,,,"A cybersecurity dataset containing nine different network attacks on a commercial IP-based surveillance system and an IoT network. The dataset includes reconnaissance, MitM, DoS, and botnet attacks.",2019-10-16,,computer
,,,,200,9,NA,NA,NA,,,classification,NA,Labeled Text Forum Threads Dataset Data Set,,,,,"The dataset is a collection of text forum threads with class labels reflects the reply quality to the Initial-Post, 3 for complete relevant, 2 for partially relevant, and 1 for irrelevant",2019-04-08,,computer
,,,,57,16,NA,NA,NA,,,n/a,NA,Labor Relations Data Set,,,,,From Collective Bargaining Review,1988-11-01,,social
,,,,504,20,NA,NA,NA,,,"classification, regression",NA,Las Vegas Strip Data Set,,,,,"This dataset includes quantitative and categorical features from online reviews from 21 hotels located in Las Vegas Strip, extracted from TripAdvisor ([Web Link]).",2017-07-23,,business
,,,,7624,7842,NA,NA,NA,,,classification,NA,LastFM Asia Social Network Data Set,,,,,A social network of LastFM users from Asian countries. The related task is predicting the country of origin based on social relations and artists liked.,2020-07-31,,social
,,,,7624,7842,NA,NA,NA,,,classification,NA,LastFM Asia Social Network Data Set,,,,,A social network of LastFM users from Asian countries. The related task is predicting the country of origin based on social relations and artists liked.,2020-07-31,,social
,,,,340,16,NA,NA,NA,,,classification,NA,Leaf Data Set,,,,,This dataset consists in a collection of shape and texture features extracted from digital images of leaf specimens originating from a total of 40 different plant species.,2014-02-24,,computer
,,,,N/A,7,NA,NA,NA,,,classification,NA,LED Display Domain Data Set,,,,,From Classification and Regression Trees book; We provide here 2 C programs for generating sample databases,1988-11-10,,computer
,,,,N/A,N/A,NA,NA,NA,,,classification,NA,Legal Case Reports Data Set,,,,,"A textual corpus of 4000 legal cases for automatic summarization and citation analysis. For each document we collect catchphrases, citations sentences, citation catchphrases and citation classes.",2012-10-19,,n/a
,,,,24,4,NA,NA,NA,,,classification,NA,Lenses Data Set,,,,,Database for fitting contact lenses,1990-08-01,,n/a
,,,,20000,16,NA,NA,NA,,,classification,NA,Letter Recognition Data Set,,,,,Database of character image features; try to identify the letter,1991-01-01,,computer
,,,,360,91,NA,NA,NA,,,"classification, clustering",NA,Libras Movement Data Set,,,,,"The data set contains 15 classes of 24 instances each. Each class references to a hand movement type in LIBRAS (Portuguese",2009-08-17,,n/a
,,,,345,7,NA,NA,NA,,,n/a,NA,Liver Disorders Data Set,,,,,BUPA Medical Research Ltd. database donated by Richard S. Forsyth,1990-05-15,,life
,,,,164860,8,NA,NA,NA,,,classification,NA,Localization Data for Person Activity Data Set,,,,,Data contains recordings of five people performing different activities. Each person wore four sensors (tags) while performing the same scenario five times.,2010-11-03,,life
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Logic Theorist Data Set,,,,,All code for Logic Theorist,N/A,,computer
,,,,531,102,NA,NA,NA,,,classification,NA,Low Resolution Spectrometer Data Set,,,,,From IRAS data -- NASA Ames Research Center,1988-03-01,,physical
,,,,126,309,NA,NA,NA,,,classification,NA,LSVT Voice Rehabilitation Data Set,,,,,"126 samples from 14 participants, 309 features. Aim: assess whether voice rehabilitation treatment lead to phonations considered 'acceptable' or 'unacceptable' (binary class classification problem).",2014-02-19,,life
,,,,32,56,NA,NA,NA,,,classification,NA,Lung Cancer Data Set,,,,,Lung cancer data; no attribute definitions,1992-05-01,,life
,,,,148,18,NA,NA,NA,,,classification,NA,Lymphography Data Set,,,,,"This lymphography domain was obtained from the University Medical Centre, Institute of Oncology, Ljubljana, Yugoslavia.  (Restricted access)",1988-11-01,,life
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,M. Tuberculosis Genes Data Set,,,,," Data giving characteristics of each ORF (potential gene) in the M. tuberculosis bacterium. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided",2001-07-14,,life
,,,,314080,N/A,NA,NA,NA,,,classification,NA,Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014 Data Set,,,,,"The data here are the ZZAlphaÂ® machine learning recommendations made for various US traded stock portfolios the morning of each day during the 3 year period Jan 1, 2012 - Dec 31, 2014.",2015-06-06,,business
,,,,4400,500,NA,NA,NA,,,classification,NA,Madelon Data Set,,,,,"MADELON is an artificial dataset, which was part of the NIPS 2003 feature selection challenge. This is a two-class classification problem with continuous input variables. The difficulty is that the problem is multivariate and highly non-linear.",2008-02-29,,n/a
,,,,19020,11,NA,NA,NA,,,classification,NA,MAGIC Gamma Telescope Data Set,,,,,Data are MC generated to simulate registration of high energy gamma particles in an atmospheric Cherenkov telescope,2007-05-01,,physical
,,,,2955,1087,NA,NA,NA,,,classification,NA,Malware static and dynamic features VxHeaven and Virus Total Data Set,,,,,"3 datasets: staDynBenignLab.csv, features extracted from 595 files (Win 7 and 8); staDynVxHeaven2698Lab.csv, from 2698 files of VxHeaven and staDynVt2955Lab.csv,from 2955 files of Virus Total.",2019-01-31,,computer
,,,,961,6,NA,NA,NA,,,classification,NA,Mammographic Mass Data Set,,,,,Discrimination of benign and malignant mammographic masses based on BI-RADS attributes and the patient's age.,2007-10-29,,life
,,,,209,8,NA,NA,NA,,,classification,NA,Mechanical Analysis Data Set,,,,,Fault diagnosis problem of electromechanical devices; also PUMPS DATA SET is newer version with domain theory and results,1990-06-01,,computer
,,,,528,22,NA,NA,NA,,,classification,NA,Meta-data Data Set,,,,,Meta-Data was used in order to give advice about which classification method is appropriate for a particular dataset (taken from results of Statlog project).,1996-03-01,,n/a
,,,,48204,9,NA,NA,NA,,,regression,NA,Metro Interstate Traffic Volume Data Set,,,,,"Hourly Minneapolis-St Paul, MN traffic volume for westbound I-94. Includes weather and holiday features from 2012-2018.",2019-05-07,,n/a
,,,,2856,71,NA,NA,NA,,,classification,NA,MEU-Mobile KSD Data Set,,,,,"This dataset contains keystroke dynamics data collected on a touch mobile device (Nexus 7). The dataset contains 2856 records, 51 records per subject for 56 subjects.",2016-05-14,,computer
,,,,6262,710,NA,NA,NA,,,"classification, clustering",NA,MEx Data Set,,,,,"The MEx Multi-modal Exercise dataset contains data of 7 different",2019-09-20,,computer
,,,,120,23,NA,NA,NA,,,classification,NA,MHEALTH Dataset Data Set,,,,,The MHEALTH (Mobile Health) dataset is devised to benchmark techniques dealing with human behavior analysis based on multimodal body sensing.,2014-12-07,,computer
,,,,1080,82,NA,NA,NA,,,"classification, clustering",NA,Mice Protein Expression Data Set,,,,,"Expression levels of 77 proteins measured in the cerebral cortex of 8 classes of control and Down syndrome mice exposed to context fear conditioning, a task used to assess associative learning.",2015-08-04,,life
,,,,221579,20,NA,NA,NA,,,"classification, causal-discovery",NA,microblogPCU Data Set,,,,,MicroblogPCU data is crawled from sina weibo microblog[[Web Link]]. This data can be used to study machine learning methods  as well as do some social network research.,2015-03-17,,computer
,,,,931,1300,NA,NA,NA,,,classification,NA,MicroMass Data Set,,,,,A dataset to explore machine learning approaches for the identification of microorganisms from mass-spectrometry data.,2013-08-12,,life
,,,,130065,50,NA,NA,NA,,,classification,NA,MiniBooNE particle identification Data Set,,,,,This dataset is taken from the MiniBooNE experiment and is used to distinguish electron neutrinos (signal) from muon neutrinos (background).,2010-12-13,,physical
,,,,1540,67,NA,NA,NA,,,"classification, clustering, causal-discovery",NA,Miskolc IIS Hybrid IPS Data Set,,,,,"The dataset was created for the comparison and evaluation of hybrid indoor positioning methods. The dataset presented contains data from W-LAN and Bluetooth interfaces, and Magnetometer.",2016-07-04,,computer
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Mobile Robots Data Set,,,,,Learning concepts from sensor data of a mobile robot; set of data sets,1995-07-15,,computer
,,,,78095,38,NA,NA,NA,,,"classification, clustering",NA,MoCap Hand Postures Data Set,,,,,"5 types of hand postures from 12 users were recorded using unlabeled markers attached to fingers of a glove in a motion capture environment. Due to resolution and occlusion, missing values are common.",2016-11-22,,computer
,,,,106,58,NA,NA,NA,,,classification,NA,Molecular Biology (Promoter Gene Sequences) Data Set,,,,,E. Coli promoter gene sequences (DNA) with partial domain theory,1990-06-30,,life
,,,,128,N/A,NA,NA,NA,,,classification,NA,Molecular Biology (Protein Secondary Structure) Data Set,,,,,From CMU connectionist bench repository; Classifies secondary structure of certain globular proteins,N/A,,life
,,,,3190,61,NA,NA,NA,,,classification,NA,Molecular Biology (Splice-junction Gene Sequences) Data Set,,,,,Primate splice-junction gene sequences (DNA) with associated imperfect domain theory,1992-01-01,,life
,,,,432,7,NA,NA,NA,,,classification,NA,MONK's Problems Data Set,,,,,A set of three artificial domains over the same attribute space; Used to test a wide range of induction algorithms,1992-10-01,,n/a
,,,,11,19,NA,NA,NA,,,classification,NA,Monolithic Columns in Troad and Mysia Region Data Set,,,,,These data have been constituted to clarify the distribution in Northwestern Anatolia of the monolithic columns produced in the ancient granite quarries located in Troad and Mysia Regions.,2020-02-08,,computer
,,,,11,19,NA,NA,NA,,,classification,NA,Monolithic Columns in Troad and Mysia Region Data Set,,,,,These data have been constituted to clarify the distribution in Northwestern Anatolia of the monolithic columns produced in the ancient granite quarries located in Troad and Mysia Regions.,2020-02-08,,computer
,,,,202,N/A,NA,NA,NA,,,n/a,NA,Moral Reasoner Data Set,,,,,Horn-clause model that qualitatively simulates moral reasoning; Theory includes negated literals,1994-06-01,,computer
,,,,78095,38,NA,NA,NA,,,"classification, clustering",NA,Motion Capture Hand Postures Data Set,,,,,"5 types of hand postures from 12 users were recorded using unlabeled markers on fingers of a glove in a motion capture environment. Due to resolution and occlusion, missing values are common.",2017-01-27,,computer
,,,,10000,N/A,NA,NA,NA,,,n/a,NA,Movie Data Set,,,,,"This data set contains a list of over 10000 films including many older, odd, and cult films. There is information on actors, casts, directors, producers, studios, etc.",1999-07-07,,n/a
,,,,989818,N/A,NA,NA,NA,,,n/a,NA,MSNBC.com Anonymous Web Data Data Set,,,,,"This data describes the page visits of users who visited msnbc.com on September 28, 1999. Visits are recorded at the level of URL category (see description) and are recorded in time order.",N/A,,computer
,,,,180,500,NA,NA,NA,,,clustering,NA,Mturk User-Perceived Clusters over Images Data Set,,,,,"This dataset was collected by Shan-Hung Wu and DataLab members at NTHU, Taiwan. There're 325 user-perceived clusters from 100 users and their corresponding descriptions.",2016-11-02,,computer
,,,,70,70,NA,NA,NA,,,"classification, clustering",NA,Multi-view Brain Networks Data Set,,,,,Multi-layer brain network datasets derived from the resting-state electroencephalography (EEG) data.,2020-08-06,,life
,,,,5879,N/A,NA,NA,NA,,,classification,NA,Multimodal Damage Identification for Humanitarian Computing Data Set,,,,,"5879 captioned images (image and text) from social media related to damage during natural disasters/wars, and belong to 6 classes: Fires, Floods, Natural landscape, Infrastructural, Human, Non-damage.",2018-06-01,,social
,,,,2000,649,NA,NA,NA,,,classification,NA,Multiple Features Data Set,,,,,This dataset consists of features of handwritten numerals (`0'--`9') extracted from a collection of Dutch utility maps,N/A,,computer
,,,,8124,22,NA,NA,NA,,,classification,NA,Mushroom Data Set,,,,,From Audobon Society Field Guide; mushrooms described in terms of physical characteristics; classification: poisonous or edible,1987-04-27,,life
,,,,476,168,NA,NA,NA,,,classification,NA,Musk (Version 1) Data Set,,,,,The goal is to learn to predict whether new molecules will be musks or non-musks,1994-09-12,,physical
,,,,6598,168,NA,NA,NA,,,classification,NA,Musk (Version 2) Data Set,,,,,The goal is to learn to predict whether new molecules will be musks or non-musks,1994-09-12,,physical
,,,,1700,124,NA,NA,NA,,,classification,NA,Myocardial infarction complications Data Set,,,,,Prediction of myocardial infarction complications,2020-12-09,,life
,,,,150,52,NA,NA,NA,,,classification,NA,Nasarian CAD Dataset Data Set,,,,,This dataset comprises records of 150 subjects (all male employees in Iran have visited the Abadan Occupational (Industrial) Medicine Clinic) and 52 features.,2020-02-28,,life
,,,,422937,5,NA,NA,NA,,,"classification, clustering",NA,News Aggregator Data Set,,,,,References to news pages collected from an web aggregator in the period from 10-March-2014 to 10-August-2014. The resources are grouped into clusters that represent pages discussing the same story.,2016-02-28,,n/a
,,,,93239,11,NA,NA,NA,,,regression,NA,News Popularity in Multiple Social Media Platforms Data Set,,,,,"Large data set of news items and their respective social feedback on multiple platforms: Facebook, Google+ and LinkedIn.",2018-02-20,,computer
,,,,101,N/A,NA,NA,NA,,,classification,NA,Newspaper and magazine images segmentation dataset Data Set,,,,,Dataset is well suited for segmentation tasks. It contains 101 scanned pages from different newspapers and magazines in Russian with ground truth pixel-based masks.,2014-07-15,,computer
,,,,11463,5812,NA,NA,NA,,,clustering,NA,NIPS Conference Papers 1987-2015 Data Set,,,,,This data set contains the distribution of words in the full text of the NIPS conference papers published from 1987 to 2015.,2016-11-23,,computer
,,,,216,216,NA,NA,NA,,,"classification, regression",NA,NoisyOffice Data Set,,,,,Corpus intended to do cleaning (or binarization) and enhancement of noisy grayscale printed text images using supervised learning methods. Noisy images and their corresponding ground truth provided.,2015-01-03,,computer
,,,,34465,120,NA,NA,NA,,,classification,NA,Nomao Data Set,,,,,"Nomao collects data about places (name, phone, localization...) from many sources.",2012-07-04,,computer
,,,,115,200,NA,NA,NA,,,classification,NA,Northix Data Set,,,,,Northix is designed to be a schema matching benchmark problem for data integration of two entity relationship databases.,2012-08-15,,computer
,,,,129000,N/A,NA,NA,NA,,,n/a,NA,NSF Research Award Abstracts 1990-2003 Data Set,,,,,NSF Research Award Abstracts 1990-2003 Data Set,2003-11-18,,n/a
,,,,12960,8,NA,NA,NA,,,classification,NA,Nursery Data Set,,,,, Nursery Database was derived from a hierarchical decision model originally developed to rank applications for nursery schools.,1997-06-01,,social
,,,,10421,7,NA,NA,NA,,,clustering,NA,NYSK Data Set,,,,,NYSK (New York v. Strauss-Kahn) is a collection of English news articles about the case relating to allegations of sexual assault against the former IMF director Dominique Strauss-Kahn (May 2011).,2013-10-11,,social
,,,,20560,7,NA,NA,NA,,,classification,NA,Occupancy Detection  Data Set,,,,,"Experimental data used for binary classification (room occupancy) from Temperature,Humidity,Light and CO2. Ground-truth occupancy was obtained from time stamped pictures that were taken every minute.",2016-02-29,,computer
,,,,50,2,NA,NA,NA,,,classification,NA,OCT data & Color Fundus Images of Left & Right Eyes Data Set,,,,,This dataset contains OCT data (in mat format) and color fundus data (in jpg format) of left & right eyes of 50 healthy persons.,2016-11-01,,computer
,,,,1600,64,NA,NA,NA,,,classification,NA,One-hundred plant species leaves data set Data Set,,,,,"Sixteen samples of leaf each of one-hundred plant species. For each sample, a shape descriptor, fine scale margin and texture histogram are given.",2012-12-03,,life
,,,,8235,N/A,NA,NA,NA,,,classification,NA,Online Handwritten Assamese Characters Dataset Data Set,,,,,This is a dataset of 8235 online handwritten assamese characters. The â€œonlineâ€ process involves capturing of data as text is written on a digitizing tablet with an electronic pen.,2011-04-01,,computer
,,,,39797,61,NA,NA,NA,,,"classification, regression",NA,Online News Popularity Data Set,,,,,This dataset summarizes a heterogeneous set of features about articles published by Mashable in a period of two years. The goal is to predict the number of shares in social networks (popularity).,2015-05-31,,business
,,,,541909,8,NA,NA,NA,,,"classification, clustering",NA,Online Retail Data Set,,,,,This is a transnational data set which contains all the transactions occurring between 01/12/2010 and 09/12/2011 for a UK-based and registered non-store online retail.,2015-11-06,,business
,,,,1067371,8,NA,NA,NA,,,"classification, regression, clustering",NA,Online Retail II Data Set,,,,,A real online retail transaction data set of two years.,2019-09-21,,business
,,,,12330,18,NA,NA,NA,,,"classification, clustering",NA,Online Shoppers Purchasing Intention Dataset Data Set,,,,,"Of the 12,330 sessions in the dataset,",2018-08-31,,business
,,,,168286,11,NA,NA,NA,,,regression,NA,Online Video Characteristics and Transcoding Time Dataset Data Set,,,,,The dataset contains a million randomly sampled video instances listing 10 fundamental video characteristics along with the YouTube video ID.,2015-05-19,,computer
,,,,N/A,N/A,NA,NA,NA,,,"classification, regression, clustering",NA,Open University Learning Analytics dataset Data Set,,,,,"Open University Learning Analytics Dataset contains data about courses, students and their interactions with Virtual Learning Environment for seven selected courses and more than 30000 students.",2015-12-21,,computer
,,,,3916,3916,NA,NA,NA,,,classification,NA,Opinion Corpus for Lebanese Arabic Reviews (OCLAR) Data Set,,,,,"Opinion Corpus for Lebanese Arabic Reviews (OCLAR) corpus is utilizable for Arabic sentiment classification on servicesâ€™ reviews, including hotels, restaurants, shops, and others.",2019-06-17,,computer
,,,,51,N/A,NA,NA,NA,,,n/a,NA,Opinosis Opinion ⁄ Review Data Set,,,,,This dataset contains sentences extracted from user reviews on a given topic. Example topics are â€œperformance of Toyota Camryâ€ and â€œsound quality of ipod nanoâ€.,2010-07-06,,computer
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,OpinRank Review Dataset Data Set,,,,,"This data set contains user reviews of cars and and hotels collected from Tripadvisor (~259,000 ",2011-07-26,,computer
,,,,2551,242,NA,NA,NA,,,classification,NA,OPPORTUNITY Activity Recognition Data Set,,,,,"The OPPORTUNITY Dataset for Human Activity Recognition from Wearable, Object, and Ambient Sensors is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc).",2012-06-09,,computer
,,,,640,10,NA,NA,NA,,,"classification, regression",NA,Optical Interconnection Network  Data Set,,,,,This dataset contains 640 performance measurements from a simulation of 2-Dimensional Multiprocessor Optical Interconnection Network.,2018-03-29,,computer
,,,,5620,64,NA,NA,NA,,,classification,NA,Optical Recognition of Handwritten Digits Data Set,,,,,Two versions of this database available; see folder,1998-07-01,,computer
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Othello Domain Theory Data Set,,,,,Used in research to generate features for an inductive learning system,1991-02-01,,game
,,,,2536,73,NA,NA,NA,,,classification,NA,Ozone Level Detection Data Set,,,,,"Two ground ozone level data sets are included in this collection. One is the eight hour peak set (eighthr.data), the other is the one hour peak set (onehr.data). Those data were collected from 1998 to 2004 at the Houston, Galveston and Brazoria area.",2008-04-21,,physical
,,,,16772,5409,NA,NA,NA,,,classification,NA,p53 Mutants Data Set,,,,,The goal is to model mutant p53 transcriptional activity (active vs inactive) based on data extracted from biophysical simulations.,2010-02-09,,life
,,,,5473,10,NA,NA,NA,,,classification,NA,Page Blocks Classification Data Set,,,,,The problem consists of classifying all the blocks of the page layout of a document that has been detected by a segmentation process.,1995-07-01,,computer
,,,,3850505,52,NA,NA,NA,,,classification,NA,PAMAP2 Physical Activity Monitoring Data Set,,,,,"The PAMAP2 Physical Activity Monitoring dataset contains data of 18 different physical activities, performed by 9 subjects wearing 3 inertial measurement units and a heart rate monitor.",2012-08-06,,computer
,,,,N/A,N/A,NA,NA,NA,,,recommendation,NA,PANDOR Data Set,,,,,PANDOR is a novel and publicly available dataset for online recommendation provided by Purch ([Web Link]).,2018-10-02,,life
,,,,405,10,NA,NA,NA,,,"classification, regression",NA,Paper Reviews Data Set,,,,,This sentiment analysis data set contains scientific paper reviews from an international conference on computing and informatics. The task is to predict the orientation or the evaluation of a review.,2017-10-23,,computer
,,,,35717,4,NA,NA,NA,,,"classification, regression, clustering",NA,Parking Birmingham Data Set,,,,,"Data collected from car parks in Birmingham that are operated by NCP from ",2019-01-02,,computer
,,,,240,46,NA,NA,NA,,,classification,NA,Parkinson Dataset with replicated acoustic features  Data Set,,,,,Contains acoustic features extracted from 3 voice recording  replications of the sustained /a/ phonation for each one of the 80 subjects (40 of them with Parkinson's Disease).,2019-04-10,,life
,,,,77,7,NA,NA,NA,,,"classification, regression, clustering",NA,Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet Data Set,,,,,"Handwriting database consists of 62 PWP(People with Parkinson) and 15 healthy individuals. Three types of recordings (Static Spiral Test, Dynamic Spiral Test and Stability Test) are taken.",2017-07-20,,computer
